comment,sent_majority,sarc_majority
Rakyat akan tanggung lebih banyak la nampaknya,pos,sarc
"Dah ko metedarah duit Rakyat , nak buat belanja besar la Lagi, lepas tu apa lagi cara dia nak korek poket Rakyat ,  sememengnya aku tidak percaya yang badjet itu menjadi kenyataan, kerana badjet yang lepas tidak dipenuhi sekadar buat kenyataan n syuk sendiri, kini Rakyat dah menyampah dengan janji2 baru datangnya dari penipu, pembohong, penyangak, pencuri, penyamun Dan pendusta,",neg,non-sarc
Tutup tv n radio.... Jgn dngar janji bajet 2016 Dr tangan ghaib....,pos,sarc
Ya lah Ko dah dera Rakyat.. Bajet besar untuk Rakyat.. Bosan la... Sandiwara.... Tipu Rakyat..,neg,non-sarc
Oiii...kerjaan bn..ko org sdr x .? Dh lh kerajaan xde duit.ps tu ko mntk badget bsr utk kroni ko org boleh la.utk rkyt mcm haramjadah.pd hri jumaat ni sye berdoa sblm atau slps baca badget semua wakil rakyt bn dpt mushibah yg x d duga..,neg,non-sarc
Bertambah lg hutang Negara... diambil oleh tangan ghaib...,neg,sarc
"Sejak negara merdeka Pm inilah yg paling teruk kalau nak dibandingkan dgn Pm yg sebelumnya. Boleh belah la lu, muka tengok tak tahu malu",neg,non-sarc
Pulang kt sape ha??yg meniaga kcil2 bnyk klua duit utk gst shaja..dpt Pulangkn plk..skli Pulangkn pd yg dftar gst je...,pos,sarc
Pulang la sangattt,pos,sarc
Kalau nk pulang..baik x yah kutip jer dari dulu... Masa kutip semua kene bayar..masa pulangkan adakah semua leh dpt blk... Terus terang je ler..GST dikenekan utk cover hutang negara...,pos,sarc
Kau caya?,pos,sarc
nak bagi balik sama sapa rakyat ka atau akaun sendiri.,pos,sarc
Pulangkan ke poket RM....,pos,sarc
Hahaha... Bagi ambik. Itu hak rakyat.,pos,sarc
tahniah alhamdulillah,pos,non-sarc
Barua kau najib.nak rakyat pggil hero ...kau sengaja tgguhkan byaran....time bajet ni la ko nak umpan .aku dh tau mainan kau najib,neg,non-sarc
Lancauuuuu,neg,non-sarc
Percaya la sgt dgn si najib..bg sikit je..amik balik berganda2,pos,sarc
Xbrbaloi kerajaan pulangkn..semua naik sbb gst..semua naik bodoh!!!,neg,non-sarc
Pi mai pi mai tang tu ja..,pos,sarc
"byk cukai kutip...income tax,tol,cukai perniagaan,cukai pintu,gst,road tax,mcm2 lagi.....apa yg nampak jib ni bg membangunkan malaysia......makin sengsara ada la....tak nampak menara ka apa ka yg dia ni buat dok jaja brim ja pun.....bukan semua rakyat dapat .lu pikir la sendiri. sembang ja lebih",neg,sarc
bagus ler kalau cam tu...,pos,non-sarc
Hahahahah .statement paling lawak .,pos,sarc
kami x nk duit kami smua nk kau najib razak letak jawatan ...,neg,non-sarc
Tipu!!!!!!!!!!,neg,non-sarc
Dengak boleh caya jangan,pos,sarc
Ini taik kejap kuar kecil kejap besar...dia turunkn minyak 10 sen pas tu naikkn 15sen...bg brim pastu naikkn toll bin baholl,neg,non-sarc
"Nilai ringgit jatuh,menyusahkan rakyat",neg,non-sarc
Bajet nk jaga org asli n Sabah Dan Sarawak je nmpknya ....biasa LA takut kalah Pru 14 dr skrg kena labur kt mereka tu!!!!,pos,sarc
"Jgn percayala,kaki kencing no 1 ni..",neg,non-sarc
PM n menteri kabinet sgt3 mengecewakn pengundi dn rakyat...mmg sgt.....,neg,non-sarc
"Projek bilion2 hnya nak mengenyangkan kamu je ....lulus dpt komisen sama la mcm kes SRC , buat rumah mampu milik hnya mampu lihat , kurangkan tax 20-30 hinggit tolak pulak bantuan persekolahan 100 hinggit , hampeh la ko najib",neg,non-sarc
Pm syok sendiri..,pos,sarc
Ala utuh,neg,non-sarc
IMBAS KEMBALI: apa yang naik dalam tahun 2015...dan apa akan jadi pada rakyat pada 2016 #renungkan_laa  #selamat_beramal_untuk_malaysia,pos,sarc
Cukup2 la bang jib nak game rakyat,pos,sarc
Bajet kencing rakyat,neg,non-sarc
TAK PAYAH NK BAJET SGTLAH NAJIP.. MALAYSIA INI DAH MASUK CARTA NERGARA YG PALING BANYAK TOL DI DUNIA.. DUIT TOL DUIT GST.. 2.6 BILION MANA KAU PIGI BELANJAKAN..MANA INCUMTAKES MANA PERGI.. SUBSIDI DAH TARIK.. PENDIDIKAN PERCUMA X ADA.. SEMUA BENDA SUDAH NAIK.. MANA YG X CUKUP LAGI.. NEGARA SUDAH PARAH MATA WANG SUDAH JAHANAM.. APA YG KAU CKP STABIL LAGI EKONOMI MALAYSIA NI.. DAH HANCUR BINASA DAH KAU KERJAKAN..,neg,non-sarc
Bersyukur lah apa yang ada sekarang ni..bising bising dlm fb bukan boleh mengubahkan segalanya...Tak puas hati lagi pergi lah mana mana negara yang anda suka..titik,pos,sarc
Haprakkkk.....,neg,non-sarc
bajet je slagi engko dpt mbajet..lpas pru xdpt dh engko nk bajet2..,neg,sarc
Cerita atas kertas memang nampak cantik spt seblom2 nie tp hasilnya kita hadap skrg...nie tahun nie bentang lg ujung tahun depan kita tgk rakyat telentang lg...,pos,sarc
"mcm xda function je bajet nie.. org muda yg bergaji kecil, xdapat ape2 menarik pon..",neg,non-sarc
