comment_eng,sarc_majority
more people will bear it appears,sarc
"have you greed of money people want to do big spending is again played it any way he wants to match the pockets of citizens indeed I do not believe that the budget was made possible because the budget of the previous unfulfilled just made a statement n shock itself now people are fed up with a new appointment comes from rogue liar liar liar, a thief and a robber",non-sarc
radio television lid do not hear the promise of the budget of the invisible hand,sarc
yes you're whipping people is a great budget for the people that are tired of theatrical trickery,non-sarc
ooi government national front you people aware not have dominion no money off it you ask the budget of the cronies of you people can do for the people of misbegotten on Friday I pray before or after reading the budget all Barisan Nasional can curse not suspected,non-sarc
national debt increased again taken by the invisible hand,sarc
since independence am the worst is if you want to compare with the previous fissile pm you shall see the face of shameless,non-sarc
home near the small meniaga who ha a lot of money out of the GST can only return once again to return to the list of GST alone,sarc
home is very,sarc
if you want a good return is not great quotes from first-time quotes of all time return payable are all recoverable frankly GST is imposed only to cover the national debt,sarc
you believe,sarc
I greet the people of the same or kah own account,sarc
return to pocket RM,sarc
haha to take the rights of the people,sarc
congratulations thank God,non-sarc
Najib barua you want people calling you a hero deliberately delay the payment time this budget is you gonna feed you I knew toys najib,non-sarc
winch,non-sarc
I believe very little with the najib for only pushes back the double,sarc
not worth the government to return all the more reason all the more stupid gst,non-sarc
go let's go let's just like that,sarc
"taxes collected income tax proper business tax assessment gst road tax more what appears jib is to develop Malaysia more passion there is no visible tower kah what does he have to dock Eggs brim only, not all people can you think is your own chat only more",sarc
even if it's a good kind,non-sarc
haha very funny statement,sarc
"we do not want money, we all want you to Najib Razak to resign",non-sarc
trick,non-sarc
do not listen can trust,sarc
this shit out small wince wince she revealed large oil pas sen sen to raise it off the brim raise toll bin jackass,non-sarc
the ringgit fell against the people,non-sarc
I keep the original budget n Sabah and Sarawak only seems normal is afraid of losing pru now have to invest close to them,sarc
do not believe me piss away this no,non-sarc
n pm very disappointed voters cabinet ministers and the people is very,non-sarc
billion project just want to satiate you can only pass the same commission is kind src case for affordable housing can only see less tax - less ringgit ringgit also aid you is useless najib,non-sarc
self-indulgent pm,sarc
alahai testicles,non-sarc
recall what more in a year and what will be the people at work think it is safe to Malaysia,sarc
enough bang jib kid game of,sarc
budget piss people,non-sarc
