comment,label
"['more', 'people', 'will', 'bear', 'it', 'appears']",sarc
"['have', 'greed', 'money', 'people', 'want', 'do', 'big', 'spending', 'is', 'again', 'played', 'it', 'any', 'way', 'he', 'wants', 'match', 'pockets', 'citizens', 'indeed', 'I', 'do', 'not', 'believe', 'budget', 'was', 'made', 'possible', 'budget', 'previous', 'unfulfilled', 'just', 'made', 'a', 'statement', 'n', 'shock', 'now', 'people', 'are', 'fed', 'up', 'a', 'new', 'appointment', 'comes', 'rogue', 'liar', 'liar', 'liar', 'a', 'thief', 'a', 'robber']",non-sarc
"['radio', 'television', 'lid', 'do', 'not', 'hear', 'promise', 'budget', 'invisible', 'hand']",sarc
"['yes', 'whipping', 'people', 'is', 'a', 'great', 'budget', 'people', 'are', 'tired', 'theatrical', 'trickery']",non-sarc
"['government', 'national', 'front', 'people', 'aware', 'not', 'have', 'dominion', 'no', 'money', 'off', 'it', 'ask', 'budget', 'cronies', 'people', 'can', 'do', 'people', 'misbegotten', 'on', 'Friday', 'I', 'pray', 'before', 'or', 'after', 'reading', 'budget', 'all', 'can', 'curse', 'not', 'suspected']",non-sarc
"['national', 'debt', 'increased', 'again', 'taken', 'by', 'invisible', 'hand']",sarc
"['independence', 'am', 'worst', 'is', 'want', 'compare', 'previous', 'fissile', 'pm', 'see', 'face', 'shameless']",non-sarc
"['home', 'near', 'small', 'who', 'ha', 'a', 'lot', 'money', 'out', 'can', 'only', 'return', 'once', 'again', 'return', 'list', 'alone']",sarc
"['home', 'is', 'very']",sarc
"['want', 'a', 'good', 'return', 'is', 'not', 'great', 'quotes', 'quotes', 'all', 'time', 'return', 'payable', 'are', 'all', 'recoverable', 'frankly', 'is', 'imposed', 'only', 'cover', 'national', 'debt']",sarc
['believe'],sarc
"['I', 'greet', 'people', 'same', 'or', 'own', 'account']",sarc
"['return', 'pocket']",sarc
"['take', 'rights', 'people']",sarc
"['congratulations', 'thank', 'God']",non-sarc
"['want', 'people', 'calling', 'a', 'hero', 'deliberately', 'delay', 'payment', 'time', 'budget', 'is', 'na', 'feed', 'I', 'knew', 'toys']",non-sarc
['winch'],non-sarc
"['I', 'believe', 'very', 'little', 'only', 'pushes', 'back', 'double']",sarc
"['not', 'worth', 'government', 'return', 'all', 'more', 'reason', 'all', 'more', 'stupid']",non-sarc
"['go', 'let', 'go', 'let', 'just', 'like']",sarc
"['taxes', 'collected', 'income', 'tax', 'proper', 'business', 'tax', 'assessment', 'road', 'tax', 'more', 'appears', 'jib', 'is', 'develop', 'Malaysia', 'more', 'passion', 'there', 'is', 'no', 'visible', 'tower', 'does', 'he', 'have', 'dock', 'Eggs', 'brim', 'only', 'not', 'all', 'people', 'can', 'think', 'is', 'own', 'chat', 'only', 'more']",sarc
"['even', 'it', 'a', 'good', 'kind']",non-sarc
"['very', 'funny', 'statement']",sarc
"['do', 'not', 'want', 'money', 'all', 'want', 'resign']",non-sarc
['trick'],non-sarc
"['do', 'not', 'listen', 'can', 'trust']",sarc
"['shit', 'out', 'small', 'wince', 'wince', 'revealed', 'large', 'oil', 'pas', 'sen', 'sen', 'raise', 'it', 'off', 'brim', 'raise', 'toll', 'bin', 'jackass']",non-sarc
"['ringgit', 'fell', 'people']",non-sarc
"['I', 'keep', 'original', 'budget', 'n', 'Sabah', 'Sarawak', 'only', 'seems', 'normal', 'is', 'afraid', 'losing', 'now', 'have', 'invest', 'close']",sarc
"['do', 'not', 'believe', 'me', 'piss', 'away', 'no']",non-sarc
"['n', 'pm', 'very', 'disappointed', 'voters', 'cabinet', 'ministers', 'people', 'is', 'very']",non-sarc
"['billion', 'project', 'just', 'want', 'satiate', 'can', 'only', 'pass', 'same', 'commission', 'is', 'kind', 'case', 'affordable', 'housing', 'can', 'only', 'see', 'less', 'tax', 'less', 'ringgit', 'ringgit', 'also', 'aid', 'is', 'useless']",non-sarc
"['self', 'indulgent', 'pm']",sarc
['testicles'],non-sarc
